X,Y,DEM,Runoff,FCO,Faults,Slope,SPI,TWI,Rain,TRI,UD,Aspect,Curvature,NDVI,Manning
296536.6008,2458300.893,1860,982.5280151,0,2179.26001,0.840245,0.586634,9.8206596,50,0.578901,12.8436003,337.243988,-0.158691,0.425688773,0.259000003
296736.6008,2458300.893,1859,907.8900146,0,2370.02002,0.553939,0,8.0401096,50,0.509664,9.0529099,288.4349976,0.638672,0.444098413,0.050000001
295936.6008,2458100.893,1866,1111.780029,0.482881,1546.699951,2.03022,0.531724,8.1271696,50,0.574841,13.0262003,350.071991,-0.320313,0.406441927,0.050000001
296136.6008,2458100.893,1864,1036.170044,0.370827,1738.189941,2.5729799,8.3132296,10.1413002,73,0.51736,13.2952995,57.6935005,0.120605,0.322328955,0.029999999
296336.6008,2458100.893,1862,918.2039795,0.247693,1933.150024,2.1952901,6.1332898,10.1590996,73,0.515163,13.8434,59.9241982,-0.359863,0.388008177,0.050000001
296536.6008,2458100.893,1860,807.7160034,0.063949,2128.26001,1.34568,0.234905,8.2509699,73,0.611262,15.0337,285.0639954,0.200195,0.443039805,0.050000001
296736.6008,2458100.893,1860,718.7730103,0.0052059,2323.209961,1.07745,0.0940346,8.0678797,73,0.523976,12.5209999,356.0050049,-0.160645,0.452050596,0.050000001
296936.6008,2458100.893,1861,665.1170044,0,2520.77002,2.6196599,0.228764,7.1788502,73,0.552244,8.7625704,48.097599,-0.0800781,0.393674344,0.050000001
295336.6008,2457900.893,1869,1207.530029,0.530455,914.7009888,2.6473601,0.924744,8.08461,73,0.519496,13.4132996,349.1229858,0.0395508,0.401093662,0.050000001
295536.6008,2457900.893,1869,1121.52002,0.695571,1107.660034,2.0507801,0,6.7307901,73,0.399084,15.5340004,88.6016006,0.36084,0.406167507,0.050000001
295736.6008,2457900.893,1867,1009.559998,0.830677,1304.410034,0.111913,0,9.6394796,73,0.643902,17.4638996,116.5650024,0.400391,0.432849556,0.050000001
295936.6008,2457900.893,1866,928.4450073,0.82555,1501.290039,2.62778,1.37685,8.4285097,73,0.476959,17.6287994,92.7225037,-0.280273,0.433272213,0.029999999
296136.6008,2457900.893,1865,860.03302,0.67656,1697.920044,2.1991401,0.576006,8.0471802,73,0.496077,18.5613003,8.4989204,-0.0800781,0.403648466,0.050000001
296336.6008,2457900.893,1863,753.8549805,0.504939,1897.02002,0.461427,0,8.2228498,73,0.556098,16.7586002,40.6012993,0,0.422496468,0.050000001
296536.6008,2457900.893,1862,642.0280151,0.212669,2095.48999,0.285322,0.348584,11.4116001,73,0.5,17.2474995,307.875,-0.400391,0.445973277,0.050000001
296736.6008,2457900.893,1861,534.867981,0.0585608,2293.229981,1.73392,0.756783,8.6905098,73,0.541114,14.4612999,303.2229919,-0.119141,0.418340534,0.050000001
296936.6008,2457900.893,1860,467.7399902,0,2493.169922,2.18663,0.954544,8.4583502,73,0.398271,11.1139002,349.4490051,-0.280273,0.430989057,0.050000001
297136.6008,2457900.893,1859,471.5350037,0,2692.26001,0.648872,0,7.8819199,73,0.398779,7.1539001,105.6900024,-0.199707,0.476462305,0.029999999
294736.6008,2457700.893,1876,1148.329956,0.221021,284.9039917,1.29817,0,7.1883202,73,0.527467,18.6161003,105.6569977,1.68018,0.49414143,0.050000001
295136.6008,2457700.893,1872,1084.550049,0.55408,682.6199951,1.52212,0.132859,7.72225,88,0.483015,19.3714008,227.6649933,-0.360352,0.48491931,0.259000003
295336.6008,2457700.893,1872,1034.410034,0.936958,882.2529907,0.771681,1.68362,10.9666996,88,0.460198,19.5207996,299.0280151,-0.679688,0.404044628,0.029999999
295536.6008,2457700.893,1870,941.4730225,1.15487,1081.02002,1.1177599,0,7.3379898,88,0.45891,21.4855003,153.4349976,0.0390625,0.429464966,0.050000001
295736.6008,2457700.893,1869,841.5300293,1.32901,1281.859985,1.06111,0.0926081,8.0831604,88,0.375587,22.9146004,15.0354004,-0.519043,0.403789252,0.050000001
295936.6008,2457700.893,1867,742.276001,1.32311,1481.75,1.83991,0.160615,7.5325298,50,0.463907,22.4629993,42.7952995,-0.0390625,0.437959909,0.259000003
296136.6008,2457700.893,1865,668.8239746,1.1328,1680.660034,0.570216,0,8.0111504,50,0.389624,24.4358006,142.1300049,0.44043,0.455206662,0.050000001
296336.6008,2457700.893,1863,608.8189697,0.907192,1881.589966,2.2981999,0,6.6167798,73,0.356808,21.4181004,345.5039978,-0.119629,0.407425076,0.050000001
296536.6008,2457700.893,1862,474.4190063,0.512512,2081.530029,3.84659,0.336178,6.7939,73,0.472864,19.3924999,164.1620026,-0.319336,0.461120337,0.050000001
296736.6008,2457700.893,1861,364.4410095,0.266774,2280.479981,1.20248,11.7544003,11.9923,73,0.516129,15.0091,133.3139954,-0.15918,0.381880254,0.050000001
296936.6008,2457700.893,1861,275.1180115,0.0511915,2481.449951,2.20028,0,6.6603699,73,0.567989,10.9758997,1.3034,1.60156,0.43919915,0.050000001
294136.6008,2457500.893,1881,1156.569946,0.453682,282.6040039,5.0475402,1.32485,7.2142401,73,0.467999,21.4841003,16.1009998,-0.120605,0.45452109,0.050000001
294336.6008,2457500.893,1880,1070.189941,0.443465,87.0976028,2.8299,7.9088602,9.9048901,73,0.661276,25.0300007,70.9281006,0.359375,0.33374238,0.050000001
294536.6008,2457500.893,1879,994.6090088,0.368475,109.237999,2.77352,0.24222,7.1216898,73,0.501485,27.2579994,152.0480042,0.0805664,0.379889578,0.050000001
294736.6008,2457500.893,1876,950.7719727,0.335387,305.3599854,1.5691,0.136961,7.6918402,73,0.459489,28.7264004,59.3650017,-0.0390625,0.431689531,0.050000001
294936.6008,2457500.893,1876,931.0089722,0.526507,500.6849976,2.17995,0,6.6696601,73,0.498228,29.0699997,36.6100006,-0.0810547,0.530499816,0.050000001
295136.6008,2457500.893,1874,897.6690063,0.754261,697.539978,1.8379,0.160439,7.5336199,73,0.50483,30.2117996,326.0880127,0.199219,0.430152476,0.029999999
295336.6008,2457500.893,1873,836.6339722,1.15466,893.8469849,2.79368,0.243983,7.11444,73,0.487324,29.2852993,43.5481987,0.0791016,0.571384847,0.050000001
295536.6008,2457500.893,1871,761.1040039,1.39601,1090.5,1.11817,0,7.3376198,73,0.510985,27.8778992,63.4280014,0.0395508,0.384585887,0.050000001
295736.6008,2457500.893,1870,679.0029907,1.58752,1289.869995,1.21799,0,7.25209,73,0.479024,29.1257992,109.1610031,0.0395508,0.487156719,0.029999999
295936.6008,2457500.893,1867,563.2139893,1.58137,1488.680054,3.56021,0.622164,7.2769499,73,0.505132,30.0820007,280.519989,-0.278809,0.431007236,0.050000001
296136.6008,2457500.893,1867,481.7409973,1.37678,1686.77002,2.3200901,0,6.6072898,73,0.515429,30.2119999,217.1199951,0.439453,0.613767982,0.029999999
296336.6008,2457500.893,1864,421.0109863,1.15362,1887.050049,1.3039,0.113804,7.8770599,73,0.549775,26.3185005,265.5969849,0.318848,0.432293326,0.050000001
296536.6008,2457500.893,1862,325.2690125,0.743292,2086.469971,3.0204301,0.263822,7.0362601,88,0.490126,22.6905003,114.4469986,0.519531,0.409918338,0.050000001
296736.6008,2457500.893,1861,200.8710022,0.465369,2284.98999,0.856698,0.149531,8.7026501,88,0.656098,18.1112995,263.2900085,0.0800781,0.38475281,0.050000001
296936.6008,2457500.893,1860,87.2065964,0.168878,2485.590088,0.368944,0.096589,9.8328304,88,0.41238,13.0845003,241.654007,-0.760254,0.403419852,0.029999999
302536.6008,2457500.893,1846,50.4480019,0,7736.620117,1.81216,4.7457199,10.2886,73,0.380282,9.6454897,24.4631004,-0.640625,0.450724572,0.259000003
302736.6008,2457500.893,1845,197.1999969,0,7895.229981,3.0602801,0,6.3299899,73,0.392974,9.3643904,112.5830002,0.319336,0.518142283,0.029999999
293536.6008,2457300.893,1886,994.0250244,0.284119,777.4329834,1.61884,0.706527,8.7592297,73,0.439512,18.9659996,8.8816605,-0.240234,0.440838367,0.050000001
293736.6008,2457300.893,1885,970.9509888,0.44088,587.2730103,0.47216,0.0824079,9.2984695,73,0.444251,23.2786999,32.0054016,-0.360352,0.412983209,0.029999999
293936.6008,2457300.893,1883,952.052002,0.517897,402.6470032,1.06126,0.0926218,8.0830097,73,0.510409,28.0333004,135,0.0400391,0.368213058,0.050000001
294136.6008,2457300.893,1881,964.6970215,0.571046,234.0879974,1.42132,1.61274,9.7367001,73,0.521978,29.6035995,129.302002,0.0004883,0.402713686,0.029999999
294336.6008,2457300.893,1880,894.4589844,0.559575,43.6577988,6.5167999,1.71346,6.9570298,73,0.487489,32.5637016,70.0358963,0.0395508,0.378428817,0.050000001
294536.6008,2457300.893,1880,805.2630005,0.475238,150.0299988,1.85839,0,6.82938,73,0.401878,34.4434013,23.8162994,0.760254,0.403862804,0.050000001
294736.6008,2457300.893,1879,754.6550293,0.465656,344.8900146,2.0511899,0.179074,7.4237399,73,0.49032,35.3661995,314.0109863,-0.0390625,0.466846019,0.029999999
294936.6008,2457300.893,1877,731.0109863,0.697166,539.2930298,1.97666,1.03537,8.7135496,73,0.495775,35.2851982,34.6861992,-0.759766,0.457424611,0.029999999
295136.6008,2457300.893,1875,714.809021,0.93791,736.052002,1.57855,2.0668001,9.7652702,73,0.555814,35.4822006,119.4100037,-0.0004883,0.436130285,0.050000001
295336.6008,2457300.893,1873,641.8380127,1.33682,932.7109985,1.60992,0,6.97299,73,0.598122,34.514801,154.2359924,0.439453,0.437091976,0.029999999
295536.6008,2457300.893,1871,594.710022,1.58904,1127.969971,1.20281,0,7.2646298,73,0.465294,32.3366013,69.3026962,0.399414,0.483399361,0.050000001
295736.6008,2457300.893,1870,493.9519958,1.7936701,1325.160034,0.851871,5.5014501,11.9272003,73,0.648016,30.4971008,49.7661018,-0.320313,0.401094943,0.050000001
295936.6008,2457300.893,1868,401.6019897,1.7886,1521.430054,2.0125201,0.702778,8.3590803,73,0.530047,31.4125996,296.572998,0.320313,0.59748435,0.050000001
296136.6008,2457300.893,1867,296.3059998,1.6282001,1716.280029,1.42527,0.248804,8.1934795,88,0.488713,31.8605003,37.8857002,-0.15918,0.443054616,0.050000001
296336.6008,2457300.893,1864,230.5319977,1.4297301,1913.469971,0.236823,0,8.8898802,88,0.639695,28.8766003,288.4819946,0.358887,0.423532456,0.029999999
296536.6008,2457300.893,1863,178.1380005,1.02551,2110.389893,1.01097,0,7.4384298,73,0.68265,26.3038006,171.4589996,0.319824,0.473199397,0.259000003
296736.6008,2457300.893,1862,43.1393013,0.731047,2306.860107,1.80784,0.157814,7.5501199,73,0.571512,19.7619991,130.5090027,-0.360352,0.442407668,0.050000001
296936.6008,2457300.893,1861,72.8354034,0.378824,2505.709961,1.15966,0.809695,9.4983997,73,0.499695,14.6724005,82.5607986,-0.0786133,0.600385487,0.029999999
302336.6008,2457300.893,1846,35,0,7456.229981,4.2455602,0.371168,6.69488,73,0.433901,10.7313004,328.0010071,0.439453,0.411205024,0.050000001
302536.6008,2457300.893,1847,179.6940002,0,7616.25,2.9336801,1.02493,7.98175,73,0.488275,11.1311998,29.6184998,-0.561035,0.464608997,0.029999999
302736.6008,2457300.893,1846,331.0969849,0,7777.319824,5.31775,1.39617,7.1618099,73,0.515012,10.9789,209.5809937,0.360352,0.508333325,0.029999999
293136.6008,2457100.893,1892,804.9349976,0.0446389,1131.660034,1.09155,0.571591,9.3076401,73,0.507411,16.6730995,69.9032974,-0.0004883,0.371829808,0.029999999
293336.6008,2457100.893,1889,818.09198,0.191122,933.6079712,3.3355601,0,6.24367,73,0.506103,22.2362003,192.9960022,0.441406,0.439426959,0.029999999
293536.6008,2457100.893,1888,795.0310059,0.309277,737.8510132,3.2269101,4.7922101,9.1672297,73,0.51757,29.2509995,357.7780151,-1.2417001,0.449458867,0.050000001
293736.6008,2457100.893,1887,775.5390015,0.472089,542.3510132,2.2749701,0.39726,7.7255602,73,0.54798,33.0709,282.0639954,0.0400391,0.357859135,0.050000001
293936.6008,2457100.893,1885,753.065979,0.551677,343.8210144,2.6530299,0.463364,7.57164,73,0.505943,39.0261002,46.528801,-0.0390625,0.448187321,0.029999999
294136.6008,2457100.893,1882,768.9899902,0.60649,148.2969971,3.43926,0.600976,7.3116002,73,0.386225,41.0539017,210.1009979,-0.200195,0.416424036,0.259000003
294336.6008,2457100.893,1881,713.7260132,0.595363,39.2046013,6.2276602,1.09121,6.7150998,73,0.435111,42.717701,57.4585991,-0.640137,0.536864638,0.029999999
294536.6008,2457100.893,1881,623.4169922,0.508776,207.8580017,1.24551,1.7393,10.0629997,73,0.473556,44.2793999,79.5820999,-0.0004883,0.473560244,0.029999999
294736.6008,2457100.893,1878,559.4730225,0.501852,396.2890015,0.502651,0.17546,9.7467098,73,0.443281,43.8210983,84.3206024,-0.278809,0.408034086,0.029999999
294936.6008,2457100.893,1876,532.0150146,0.745346,587.2459717,1.39284,0,7.1178999,73,0.487458,41.5304985,111.0319977,0.0791016,0.454725772,0.050000001
295136.6008,2457100.893,1874,540.8330078,0.986068,780.2470093,0.806824,1.40824,10.7084999,73,0.584457,38.9794998,253.8130035,-0.118652,0.431716889,0.050000001
295336.6008,2457100.893,1874,452.3859863,1.3659199,974.2949829,2.56075,0,6.5084801,73,0.393791,38.8471985,308.6520081,0.280273,0.501533628,0.050000001
295536.6008,2457100.893,1872,422.2909851,1.6005,1168.160034,0.601628,2.2051201,11.7187004,73,0.592141,36.1679001,135,-0.640625,0.44941479,0.050000001
295736.6008,2457100.893,1871,315.3819885,1.78968,1364.25,3.0065501,0,6.3477302,73,0.481528,35.8474007,356.1820068,0.560547,0.402252436,0.029999999
295936.6008,2457100.893,1870,233.9850006,1.79963,1559.73999,3.4441199,0.601828,7.3101802,73,0.523143,35.8490982,50.3061981,0.280273,0.430882573,0.050000001
296336.6008,2457100.893,1867,36.1385994,1.50334,1952.229981,2.3728299,0.62155,7.9710798,73,0.496338,31.8216,73.4716034,-0.120605,0.416516155,0.050000001
296536.6008,2457100.893,1862,10.198,1.12292,2148.52002,0.430111,2.1394601,12.3535995,73,0.236641,30.1980991,35.5281982,-0.0800781,0.525696397,0.050000001
296736.6008,2457100.893,1864,84.5280991,0.838589,2343.780029,4.1152301,0,6.03303,73,0.510343,23.8736,274.875,1.59961,0.449692219,0.050000001
296936.6008,2457100.893,1863,225.6940002,0.492967,2540.979981,1.83948,0.963463,8.7855301,73,0.423203,18.6804008,42.7947998,-0.399414,0.459516525,0.050000001
302336.6008,2457100.893,1847,156.5410004,0,7337.299805,3.3564501,1.75941,8.18332,73,0.47998,12.1517,86.596199,0.320801,0.400125772,0.259000003
302536.6008,2457100.893,1847,315.6359863,0,7499.859863,1.7408201,0.607838,8.50422,73,0.453822,12.9521999,201.0399933,-0.160156,0.407800078,0.050000001
