DEM,Runoff,FCO,Faults,Slope,SPI,TWI,Rain,TRI,UD,Aspect,Curvature,NDVI,Manning,FLOOD
1869,492.098999,1.80527,1385.119995,0.424931824,0.0370824,8.998396873,73,0.555012226,30.33621979,266.6238708,0.040527344,0.41481,0.050000001,1
1869,330.1059875,1.80302,1458.209961,6.14760685,2.6926999,7.421290874,73,0.466333717,34.35807419,94.89520264,-0.400390625,0.422476,0.050000001,1
1882,738.7160034,0.616477,79.5550003,6.14760685,2.6926999,7.421290874,73,0.466333717,34.35807419,94.89520264,-0.400390625,0.422476,0.050000001,1
1875,481.506012,1.5418,1014.349976,2.955601931,0.774449,7.75114584,57,0.370295018,33.32711411,141.8769989,0.200195313,0.386871,0.050000001,1
1881,412.0979919,1.38462,345,0.070779733,0,10.09762287,68,0.5,21.65376663,225,0,0.602766,0.050000001,1
1877,727.9069824,1.71877,880.5109863,2.695144653,0.235365,7.150399208,57,0.536610901,41.60894394,173.0737457,0.200195313,0.79302,0.050000001,1
1856,62.8171997,0.647462,4331.279785,6.027460098,6.3352199,8.214366913,57,0.452895135,38.67819595,112.9456635,-0.3203125,0.394865,0.050000001,1
1858,319.2319946,3.01072,2761.810059,0.637042284,0,7.900319576,57,0.546059906,46.26992416,348.7008362,0.438964844,0.435582,0.050000001,1
1858,319.2319946,3.01072,2761.810059,0.637042284,0,7.900319576,57,0.546059906,46.26992416,348.7008362,0.438964844,0.435582,0.050000001,1
1858,319.2319946,3.01072,2761.810059,0.637042284,0,7.900319576,57,0.546059906,46.26992416,348.7008362,0.438964844,0.435582,0.050000001,1
1877,1420.280029,0.89349,479.2349854,0.176949322,0,9.181329727,57,0.445121944,36.21577072,351.8699036,0,0.431079,0.050000001,1
1868,1702.329956,2.71946,1519.189941,0.25764212,0,8.805618286,48,0.445121944,36.85246658,209.0546112,0.040039063,0.525425,0.050000001,1
1868,1702.329956,2.71946,1519.189941,0.25764212,0,8.805618286,48,0.445121944,36.85246658,209.0546112,0.040039063,0.525425,0.050000001,1
1868,1702.329956,2.71946,1519.189941,3.901986837,0.341034,6.779555798,68,0.404296875,13.75363255,310.3242493,-0.120605469,0.433795,0.050000001,1
1886,1489.030029,2.49,543.401001,5.482766628,1.91968,7.354210854,48,0.546793282,44.11299515,170.0186157,-0.440917969,0.394252,0.050000001,1
1886,1489.030029,2.49,543.401001,3.901986837,0.341034,6.779555798,68,0.404296875,13.75363255,310.3242493,-0.120605469,0.433795,0.050000001,1
1848,888.7050171,1.21911,6112.27002,0.25764212,0,8.805618286,48,0.445121944,36.85246658,209.0546112,0.040039063,0.525425,0.050000001,1
1903,848.8339844,1.36736,1448.229981,1.400986314,0,7.112066269,57,0.526539266,31.94358253,124.8151321,0.000488281,0.386776,0.050000001,1
1848,888.7050171,1.21911,6112.27002,0.25764212,0,8.805618286,48,0.445121944,36.85246658,209.0546112,0.040039063,0.525425,0.050000001,1
